fdata;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"04/01/2010";"12:35:00";"55";"sem v�tima";"243";"BR-393/RJ";" Sul";"Capotamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"04/01/2010";"21:13:00";"94";"sem v�tima";"236";"BR-393/RJ";" Norte";"Derrapagem";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/01/2010";"13:33:00";"69";"com v�tima";"169";"BR-393/RJ";" Norte";"Capotamento";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"05/01/2010";"15:20:00";"74";"com v�tima";"247";"BR-393/RJ";" Sul";"Queda de moto";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"05/01/2010";"18:04:00";"84";"sem v�tima";"282";"BR-393/RJ";" Sul";"Atropelamento de pedestre atravessando";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"05/01/2010";"18:06:00";"85";"com v�tima";"242";"BR-393/RJ";" Sul";"Colis�o frontal";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"05/01/2010";"18:55:00";"89";"sem v�tima";"281,9";"BR-393/RJ";" Sul";"Colis�o traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"06/01/2010";"16:13:00";"79";"sem v�tima";"125";"BR-393/RJ";" Sul";"Colis�o traseira";2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"07/01/2010";"16:22:00";"91";"com v�tima";"284,2";"BR-393/RJ";" Norte";"Engavetamento";0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
"07/01/2010";"19:11:00";"103";"com v�tima";"222,1";"BR-393/RJ";" Norte";"Abalroamento transversal";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"07/01/2010";"22:12:00";"117";"com v�tima";"3";"BR-393/RJ";" Sul";"Atropelamento de animal";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
