data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"18/12/2022";"10:17:00";"81";"AC03-ACIDE";"1088";"BR-163/MT";"Sul";"Tombamento";0;0;1;0;0;2;0;0;0;0;1;0;0;0;0
"18/12/2022";"15:05:00";"137";"AC01-ACIDE";"890,4";"BR-163/MT";"Sul";"Atropelamento - Pedestre";0;0;0;0;0;0;0;0;0;1;8;0;0;0;1
"18/12/2022";"22:08:00";"185";"AC02-ACIDE";"573";"BR-163/PA";"Norte";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"19/12/2022";"09:41:00";"120";"AC03-ACIDE";"434";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"19/12/2022";"18:26:00";"203";"AC02-ACIDE";"1066,55";"BR-163/MT";"Sul";"Colisão Lateral";0;1;0;1;0;0;0;0;0;0;1;1;0;0;0
"20/12/2022";"01:10:00";"18";"AC03-ACIDE";"908,2";"BR-163/MT";"Norte";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"20/12/2022";"04:57:00";"36";"AC02-ACIDE";"995,802";"BR-163/MT";"Sul";"Tombamento";0;0;2;0;0;0;0;0;0;0;1;0;1;0;0
"20/12/2022";"10:39:00";"94";"AC03-ACIDE";"934,9";"BR-163/MT";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"20/12/2022";"15:50:00";"154";"AC03-ACIDE";"553,949";"BR-163/PA";"Sul";"Choque - Obstáculo Fixo";0;0;1;0;0;2;0;0;0;0;1;0;0;0;0
"21/12/2022";"04:27:00";"7";"AC03-ACIDE";"330";"BR-163/PA";"Norte";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"21/12/2022";"09:53:00";"21";"AC03-ACIDE";"935,739";"BR-163/MT";"Norte";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"22/12/2022";"03:58:00";"16";"AC02-ACIDE";"581,926";"BR-163/PA";"Sul";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"22/12/2022";"07:12:00";"34";"AC02-ACIDE";"270,077";"BR-163/PA";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"22/12/2022";"14:39:00";"150";"AC03-ACIDE";"588,478";"BR-163/PA";"Sul";"Tombamento";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"22/12/2022";"20:17:00";"199";"AC02-ACIDE";"936,8";"BR-163/MT";"Sul";"Colisão Transversal";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"23/12/2022";"14:20:00";"193";"AC03-ACIDE";"984,9";"BR-163/MT";"Norte";"Choque - Arvore";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"23/12/2022";"15:15:00";"202";"AC03-ACIDE";"936,014";"BR-163/MT";"Norte";"Choque - Elemento de Drenagem";0;0;0;0;0;0;0;0;0;1;4;0;0;0;0
"23/12/2022";"17:09:00";"206";"AC03-ACIDE";"889,5";"BR-163/MT";"Sul";"Engavetamento";2;0;0;0;0;0;0;0;0;1;9;0;0;0;0
"23/12/2022";"19:34:00";"246";"AC03-ACIDE";"875";"BR-163/MT";"Norte";"Saida de Pista";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"23/12/2022";"20:18:00";"251";"AC01-ACIDE";"978,817";"BR-163/MT";"Sul";"Colisão Frontal";0;0;0;0;0;0;0;0;0;2;0;2;0;2;1
"24/12/2022";"00:45:00";"14";"AC03-ACIDE";"597";"BR-163/PA";"Sul";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"24/12/2022";"03:20:00";"27";"AC03-ACIDE";"856";"BR-163/MT";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"24/12/2022";"10:16:00";"92";"AC03-ACIDE";"250,665";"BR-163/PA";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"24/12/2022";"16:23:00";"154";"AC02-ACIDE";"897,3";"BR-163/MT";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"25/12/2022";"12:09:00";"55";"AC02-ACIDE";"323,34";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;2;0;0;0;0;2;1;0;0;0
"25/12/2022";"17:00:00";"91";"AC02-ACIDE";"427,8";"BR-163/PA";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;3;2;0;0;0
"25/12/2022";"17:17:00";"94";"AC02-ACIDE";"1043,64";"BR-163/MT";"Norte";"Engavetamento";1;0;0;0;0;2;0;0;0;0;2;1;0;0;0
"25/12/2022";"22:02:00";"119";"AC03-ACIDE";"943,636";"BR-163/MT";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"26/12/2022";"02:30:00";"11";"AC03-ACIDE";"1055,96";"BR-163/MT";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"26/12/2022";"10:48:00";"78";"AC03-ACIDE";"953,5";"BR-163/MT";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
